plate_number,starting_price,min_increment,current_offer,time_to_go,offers_number
195,3'000,100,11'200,5 giorni 00:01:38,11
1579,3'000,100,4'000,8 giorni 00:01:38,5
10492,1'000,50,900,5 giorni 00:01:38,2
40504,1'000,50,600,8 giorni 00:01:38,1
34528,800,N/A,N/A,N/A,N/A
39562,800,N/A,N/A,N/A,N/A
43872,600,N/A,N/A,N/A,N/A
57351,600,N/A,N/A,N/A,N/A
61504,500,N/A,N/A,N/A,N/A
67571,450,N/A,N/A,N/A,N/A
93847,400,N/A,N/A,N/A,N/A
111439,400,N/A,N/A,N/A,N/A
174333,350,N/A,N/A,N/A,N/A
308111,400,N/A,N/A,N/A,N/A
