plate_number,starting_price,current_offer,time_to_go,offers_number
TI 776,N/A,SFr. 12'600, 29.04.2026,9
TI 11062,N/A,SFr. 1'200, 03.05.2026,3
TI 25725,N/A,SFr. 700, 03.05.2026,1
TI 102222,N/A,SFr. 1'500, 29.04.2026,1
TI 22084,SFr. 600,N/A,N/A,N/A
TI 27491,SFr. 550,N/A,N/A,N/A
TI 31426,SFr. 450,N/A,N/A,N/A
TI 35940,SFr. 450,N/A,N/A,N/A
TI 46914,SFr. 450,N/A,N/A,N/A
TI 47896,SFr. 400,N/A,N/A,N/A
TI 54801,SFr. 350,N/A,N/A,N/A
TI 62518,SFr. 350,N/A,N/A,N/A
TI 65719,SFr. 350,N/A,N/A,N/A
TI 74851,SFr. 300,N/A,N/A,N/A
TI 92719,SFr. 350,N/A,N/A,N/A
TI 98674,SFr. 300,N/A,N/A,N/A
TI 111457,SFr. 200,N/A,N/A,N/A
TI 209333,SFr. 200,N/A,N/A,N/A
